price,title,address,cuisine,cuisineGroup,imagesCount,lat,lng,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours,phone,placeId,plusCode,postalCode,rank,reviewsCount,reviewsDistribution/fiveStar,reviewsDistribution/fourStar,reviewsDistribution/oneStar,reviewsDistribution/threeStar,reviewsDistribution/twoStar,searchPageUrl,locality,street,rating,url,website,reservationLink,Cash Vouchers,Buffet Deals,Set Deals
$$,Samy's Curry Restaurant,"25 Dempsey Rd, Singapore 249670",Indian restaurant,Indian,1535,1.3061228,103.8117619,"Friday,","11AM to 3PM, 6 to 10PM","Saturday,","11AM to 3PM, 6 to 10PM","Sunday,","11AM to 3PM, 6 to 10PM","Monday,","11AM to 3PM, 6 to 10PM","Tuesday,",Closed,"Wednesday,","11AM to 3PM, 6 to 10PM","Thursday,","11AM to 3PM, 6 to 10PM",+65 6472 2080,ChIJZzTg5yIa2jERNtVXMcuCOFU,8R46+CP Singapore,249670,67,2098,1173,599,53,215,58,"https://www.google.com/maps/search/Restaurants+in+Tanglin/@1.4399979,103.8212306,12z/data=!4m2!2m1!6e5?hl=en",Tanglin,25 Dempsey Rd,4.3,"https://www.google.com/maps/place/Samy's+Curry+Restaurant/@1.3061228,103.8117619,17z/data=!3m1!4b1!4m5!3m4!1s0x31da1a22e7e03467:0x553882cb3157d536!8m2!3d1.3061228!4d103.8117619?hl=en",http://www.samyscurry.com/,,,,
$$,RedDot Brewhouse,"25A Dempsey Road, #01-01, Singapore 247691",Western Restaurant,Western,1856,1.3061805,103.8115459,"Friday,",11:30AM to 11PM,"Saturday,",11:30AM to 1AM,"Sunday,",11:30AM to 10:30PM,"Monday,",11:30AM to 10PM,"Tuesday,",11:30AM to 10:30PM,"Wednesday,",11:30AM to 10:30PM,"Thursday,",11:30AM to 10:30PM,+65 6475 0500,ChIJZzTg5yIa2jERJDs-qLs7KtU,8R46+FJ Singapore,247691,90,658,310,210,41,67,30,"https://www.google.com/maps/search/Restaurants+in+Tanglin/@1.4399979,103.8212306,12z/data=!4m2!2m1!6e5?hl=en",Tanglin,"25A Dempsey Road, #01-01",4.1,"https://www.google.com/maps/place/RedDot+Brewhouse/@1.3061805,103.8115459,17z/data=!3m1!4b1!4m5!3m4!1s0x31da1a22e7e03467:0xd52a3bbba83e3b24!8m2!3d1.3061805!4d103.8115459?hl=en",https://reddotbrewhouse.com.sg/,https://book.chope.co/booking?rid=reddotbrewhousedempseyhill1810sg&source=aff_nibbles,,,
$$ - $$$,Butcher Boy,"31 Keong Saik Rd., Singapore 089138",Asian fusion restaurant,Fusion,548,1.2800334,103.8414134,"Friday,","12 to 3PM, 5PM to 12AM","Saturday,","12 to 3PM, 5PM to 12AM","Sunday,","12 to 4PM, 5 to 9PM","Monday,",Closed,"Tuesday,",5PM to 12AM,"Wednesday,","12 to 3PM, 5PM to 12AM","Thursday,","12 to 3PM, 5PM to 12AM",+65 8752 9578,ChIJZzp9eXIZ2jERA0qgSY7v_oA,7RJR+2H Singapore,89138,30,312,171,96,7,31,7,"https://www.google.com/maps/search/restaurants+in+Chinatown/@1.4399979,103.8212306,12z?hl=en",Chinatown ,31 Keong Saik Rd.,4.3,"https://www.google.com/maps/place/Butcher+Boy/@1.2800334,103.8414134,17z/data=!3m1!4b1!4m5!3m4!1s0x31da1972797d3a67:0x80feef8e49a04a03!8m2!3d1.2800334!4d103.8414134?hl=en",http://www.butcherboy.com.sg/,https://book.chope.co/booking?rid=butcherboy1708boy&source=aff_nibbles,,,
$$,"Tonny Restaurant, 利宝饭店","10 Lor 3 Geylang, Singapore 388862",Cantonese restaurant,Cantonese,823,1.3120356,103.8743704,"Saturday,","12 to 2:30PM, 6 to 10:30PM","Sunday,","12 to 2:30PM, 6 to 10:30PM","Monday,",Closed,"Tuesday,","12 to 2:30PM, 6 to 10:30PM","Wednesday,","12 to 2:30PM, 6 to 10:30PM","Thursday,","12 to 2:30PM, 6 to 10:30PM","Friday,","12 to 2:30PM, 6 to 10:30PM",+65 6748 6618,ChIJZYxHnRIY2jERX8vxJEbkj4k,8V6F+RP Singapore,388862,77,265,139,94,8,20,4,"https://www.google.com/maps/search/restaurants+in+Geylang/@1.4399979,103.8212306,12z/data=!4m2!2m1!6e5?hl=en",Geylang,10 Lor 3 Geylang,4.3,"https://www.google.com/maps/place/Tonny+Restaurant,+%E5%88%A9%E5%AE%9D%E9%A5%AD%E5%BA%97/@1.3120356,103.8743704,17z/data=!3m1!4b1!4m5!3m4!1s0x31da18129d478c65:0x898fe44624f1cb5f!8m2!3d1.3120356!4d103.8743704?hl=en",,https://book.chope.co/booking?rid=tonnyrestaurant1709ton&source=aff_nibbles,,,
$$$$,NIKU KATSUMATA,"47 Duxton Rd, Singapore 089511",Japanese,Japanese,729,1.2784302,103.8433621,"Friday,",5:30 to 11PM,"Saturday,",5:30 to 11PM,"Sunday,",5:30 to 11PM,"Monday,",5:30 to 11PM,"Tuesday,",5:30 to 11PM,"Wednesday,",5:30 to 11PM,"Thursday,",5:30 to 11PM,+65 9162 7502,ChIJZyR-FW0Z2jERRF6cLadFN9k,7RHV+98 Singapore,89511,63,232,174,40,4,10,4,"https://www.google.com/maps/search/restaurants+in+Tanjong+Pagar/@1.4151913,104.4600889,12z/data=!4m2!2m1!6e5?hl=en",Tanjong Pagar ,47 Duxton Rd,4.6,"https://www.google.com/maps/place/NIKU+KATSUMATA/@1.2784302,103.8433621,17z/data=!3m1!4b1!4m5!3m4!1s0x31da196d157e2467:0xd93745a72d9c5e44!8m2!3d1.2784303!4d103.843362?hl=en",http://www.niku-katsumata.com/,https://book.chope.co/booking?rid=nikukatsumata1704nkk&source=aff_nibbles,https://shop.chope.co/products/niku-katsumata?aff=566&utm_campaign=sg-affiliate-nibbles&utm_source=aff_nibbles&utm_medium=affiliate,,
$,Sin Keng Seng Restaurant,"47 Tai Thong Cres, Singapore 347867",Coffee shop,Cafe/Bakery,68,1.3283865,103.8699808,"Saturday,",7AM to 8:30PM,"Sunday,",Closed,"Monday,",7AM to 8:30PM,"Tuesday,",7AM to 8:30PM,"Wednesday,",7AM to 8:30PM,"Thursday,",7AM to 8:30PM,"Friday,",7AM to 8:30PM,,ChIJZxGFToAX2jERUoJGAsfsm9I,8VH9+9X Singapore,347867,72,68,36,22,3,7,0,"https://www.google.com/maps/search/restaurants+in+Machpherson/@1.4399979,103.8212306,12z/data=!4m2!2m1!6e5?hl=en",Machpherson,47 Tai Thong Cres,4.3,"https://www.google.com/maps/place/Sin+Keng+Seng+Restaurant/@1.3283865,103.8699808,17z/data=!3m1!4b1!4m5!3m4!1s0x31da17804e851167:0xd29becc702468252!8m2!3d1.3283762!4d103.8699745?hl=en",,,,,
$$,大胡子串烧 Moustache BBQ,"70 Lor 25A Geylang, Singapore 388255",Other,Other,809,1.3156935,103.8833199,"Saturday,",11AM to 3AM,"Sunday,",11AM to 3AM,"Monday,",11AM to 3AM,"Tuesday,",11AM to 3AM,"Wednesday,",11AM to 3AM,"Thursday,",11AM to 3AM,"Friday,",11AM to 3AM,+65 6841 0387,ChIJzx6-FzsY2jERlYcpxppxp3I,8V8M+78 Singapore,388255,104,535,243,152,57,66,17,"https://www.google.com/maps/search/restaurants+in+Geylang/@1.4399979,103.8212306,12z/data=!4m2!2m1!6e5?hl=en",Geylang,70 Lor 25A Geylang,3.9,"https://www.google.com/maps/place/%E5%A4%A7%E8%83%A1%E5%AD%90%E4%B8%B2%E7%83%A7+Moustache+BBQ/@1.3156935,103.8833199,17z/data=!3m1!4b1!4m5!3m4!1s0x31da183b17be1ecf:0x72a7719ac6298795!8m2!3d1.3157115!4d103.8832111?hl=en",https://emenu-global.sandypos.com/?rid=10074&tid=-1&ver=1,,,,
$,Xin Heng Feng Guo Tiao Tan (Fish Steamboat),"91 Whampoa Dr, #01-1415, Singapore 320091",Hawker stall,Hawker Centre,266,1.3234136,103.8540838,"Saturday,",5AM to 9:30PM,"Sunday,",5AM to 9:30PM,"Monday,",5AM to 9:30PM,"Tuesday,",Closed,"Wednesday,",5AM to 9:30PM,"Thursday,",5AM to 9:30PM,"Friday,",5AM to 9:30PM,,ChIJzWUCpdkZ2jERZoh_0wfg-nE,8VF3+9J Singapore,320091,86,127,62,40,4,16,5,"https://www.google.com/maps/search/restaurants+in+Balestier/@1.4399979,103.8212306,12z/data=!4m2!2m1!6e5?hl=en",Balestier,"91 Whampoa Dr, #01-1415",4.2,"https://www.google.com/maps/place/Xin+Heng+Feng+Guo+Tiao+Tan+(Fish+Steamboat)/@1.3234136,103.8540838,17z/data=!3m1!4b1!4m5!3m4!1s0x31da19d9a50265cd:0x71fae007d37f8866!8m2!3d1.3234136!4d103.8540838?hl=en",,,,,
$$,Pizza Hut Delivery - Upper Paya Lebar,"165 Upper Paya Lebar Rd, Singapore 534858",Pizza delivery,Fast Food/Takeaway,20,1.3396192,103.8855054,"Saturday,",11AM to 1:30AM,"Sunday,",11AM to 1:30AM,"Monday,",11AM to 1:30AM,"Tuesday,",11AM to 1:30AM,"Wednesday,",11AM to 1:30AM,"Thursday,",11AM to 1:30AM,"Friday,",11AM to 1:30AM,+65 6285 7675,ChIJZwKS4pMX2jERKa1LDY4vSXY,8VQP+R6 Singapore,534858,90,79,43,17,10,6,3,"https://www.google.com/maps/search/restaurants+in+Paya+Lebar/@1.4399979,103.8212306,12z/data=!4m2!2m1!6e5?hl=en",Paya Lebar,165 Upper Paya Lebar Rd,4,"https://www.google.com/maps/place/Pizza+Hut+Delivery+-+Upper+Paya+Lebar/@1.3396192,103.8855054,17z/data=!3m1!4b1!4m5!3m4!1s0x31da1793e2920267:0x76492f8e0d4bad29!8m2!3d1.3396192!4d103.8855054?hl=en",https://www.pizzahut.com.sg/,,,,
$$ - $$$,Anouska's Bar,"83 Duxton Rd, Duxton Reserve, Singapore 089540",Bar,Bar/Pub,84,1.2786983,103.84319,"Friday,","12 to 2:30PM, 5PM to 12AM","Saturday,","12 to 2:30PM, 5PM to 12AM","Sunday,","12 to 2:30PM, 5 to 10:30PM","Monday,","12 to 2:30PM, 5 to 10:30PM","Tuesday,","12 to 2:30PM, 5 to 10:30PM","Wednesday,","12 to 2:30PM, 5 to 10:30PM","Thursday,","12 to 2:30PM, 5 to 10:30PM",+65 6914 1428,ChIJZWbAl-QZ2jERxtpgGIIjKAI,7RHV+F7 Singapore,89540,60,42,18,14,3,4,3,"https://www.google.com/maps/search/restaurants+in+Tanjong+Pagar/@1.4399979,103.8212306,12z/data=!4m2!2m1!6e5?hl=en",Tanjong Pagar ,"83 Duxton Rd, Duxton Reserve",4,"https://www.google.com/maps/place/Anouska's+Bar/@1.2786983,103.84319,17z/data=!3m1!4b1!4m5!3m4!1s0x31da19e497c06665:0x22823821860dac6!8m2!3d1.2786983!4d103.84319?hl=en",https://anouskas.sg/,https://book.chope.co/booking?rid=anouskasbar2011sg&source=aff_nibbles,,,
